q0, q1, q2, q3, q4, q5, q6
-0.000133434, -0.785386, -5.15211e-05, -2.3564, -0.000387711, 1.5706, 0.785204
-0.000130093, -0.785386, -5.31913e-05, -2.3564, -0.000384516, 1.5706, 0.785205
-0.000131764, -0.785387, -5.31913e-05, -2.3564, -0.000386036, 1.5706, 0.785204
-0.000135383, -0.785387, -5.51401e-05, -2.3564, -0.000386747, 1.5706, 0.785203
-0.000130093, -0.785387, -5.31912e-05, -2.3564, -0.000386271, 1.5706, 0.785203
-0.000133434, -0.785384, -5.31912e-05, -2.3564, -0.000383154, 1.5706, 0.785203
-0.000135383, -0.785385, -5.31912e-05, -2.3564, -0.000386023, 1.5706, 0.785206
-0.000137054, -0.785388, -5.30095e-05, -2.3564, -0.000388065, 1.5706, 0.785207
-0.000131304, -0.785386, -5.22994e-05, -2.3564, -0.000387592, 1.5706, 0.785208
-0.000132082, -0.785388, -4.9472e-05, -2.3564, -0.000386409, 1.5706, 0.785208
-0.000132164, -0.785383, -5.09503e-05, -2.3564, -0.00038537, 1.5706, 0.785203
-0.000129968, -0.785381, -4.9417e-05, -2.3564, -0.000384414, 1.5706, 0.785203
-0.000132867, -0.785373, -3.90846e-05, -2.3564, -0.000381713, 1.5706, 0.785204
-0.000125404, -0.785366, -3.86297e-05, -2.3564, -0.000381321, 1.5706, 0.785204
-0.000121637, -0.785357, -2.82006e-05, -2.3564, -0.000383497, 1.5706, 0.785206
-0.000115292, -0.785343, -2.05677e-05, -2.35639, -0.000382213, 1.5706, 0.785208
-0.000112733, -0.785329, -6.91847e-06, -2.35639, -0.000380454, 1.5706, 0.785209
-0.000104012, -0.785313, 2.98636e-06, -2.35639, -0.000375884, 1.5706, 0.785209
-9.65806e-05, -0.785288, 1.33096e-05, -2.35639, -0.000370851, 1.5706, 0.785203
-9.03223e-05, -0.785265, 3.02606e-05, -2.35639, -0.000364002, 1.5706, 0.785204
-8.30666e-05, -0.785243, 4.35743e-05, -2.35639, -0.000352607, 1.5706, 0.785206
-6.83328e-05, -0.785217, 6.84784e-05, -2.35638, -0.000345841, 1.5706, 0.785208
-5.77031e-05, -0.785183, 8.1748e-05, -2.35638, -0.00033277, 1.5706, 0.785206
-3.8326e-05, -0.785149, 0.000106355, -2.35637, -0.000321707, 1.5706, 0.785206
-2.0213e-05, -0.785113, 0.000128612, -2.35637, -0.000304584, 1.5706, 0.785202
4.34583e-06, -0.78507, 0.00015185, -2.35637, -0.00028806, 1.5706, 0.785203
