q0, q1, q2, q3, q4, q5, q6
0, 0, 0, 0, 0, 0, 0
0, 0, -8.47033e-16, 0, 0, 0, 0
0.012141, 0.0218922, 0.0121415, 0.00214193, 0.012141, 0.00169583, 0.000639224
0.0798392, 0.143281, 0.0798427, 0.0141527, 0.0798393, 0.00104258, 0.000392726
0.192525, 0.343496, 0.192534, 0.0343269, 0.192525, 0.000640282, 0.000241185
0.331451, 0.587572, 0.331465, 0.0594717, 0.331451, 0.000393217, 0.000148119
0.485103, 0.854035, 0.485124, 0.0876261, 0.485104, 0.000241487, 9.09646e-05
0.646411, 1.1297, 0.646439, 0.117586, 0.646412, 0.000148304, 5.5864e-05
0.811032, 1.40646, 0.811067, 0.148612, 0.811033, 9.1078e-05, 3.43078e-05
0.9763, 1.67935, 0.976341, 0.180249, 0.976301, 5.59339e-05, 2.10695e-05
1.14058, 1.94531, 1.14062, 0.21222, 1.14058, 3.43505e-05, 1.29393e-05
1.30285, 2.20247, 1.30291, 0.244351, 1.30286, 2.10958e-05, 7.94664e-06
1.46252, 2.44967, 1.46258, 0.276539, 1.46252, 1.29556e-05, 4.8801e-06
1.61919, 2.68621, 1.61925, 0.308719, 1.61919, 7.95652e-06, 2.99705e-06
1.77263, 2.91165, 1.7727, 0.340851, 1.77263, 4.88609e-06, 1.84064e-06
1.9227, 3.12573, 1.92278, 0.372911, 1.92271, 3.00071e-06, 1.13032e-06
2.06932, 3.32827, 2.0694, 0.404883, 2.06932, 1.84297e-06, 6.94222e-07
2.21242, 3.51919, 2.2125, 0.436759, 2.21242, 1.13198e-06, 4.26326e-07
2.35198, 3.69842, 2.35207, 0.468533, 2.35198, 6.95e-07, 2.61791e-07
2.48797, 3.86592, 2.48806, 0.500201, 2.48797, 4.2677e-07, 1.6076e-07
2.62038, 4.02167, 2.62048, 0.531761, 2.62039, 2.62013e-07, 9.88098e-08
2.74921, 4.16565, 2.74931, 0.563212, 2.74921, 1.61204e-07, 6.06182e-08
2.87445, 4.29785, 2.87455, 0.594554, 2.87445, 9.90319e-08, 3.71925e-08
2.99609, 4.41828, 2.99619, 0.625785, 2.99609, 6.03961e-08, 2.29816e-08
3.11414, 4.52692, 3.11424, 0.656905, 3.11414, 3.73035e-08, 1.39888e-08
3.22859, 4.62377, 3.2287, 0.687915, 3.22859, 2.30926e-08, 8.54872e-09
3.33945, 4.70884, 3.33956, 0.718814, 3.33945, 1.37668e-08, 5.44009e-09
3.4467, 4.78212, 3.44681, 0.749602, 3.44671, 8.88178e-09, 3.10862e-09
3.55037, 4.84361, 3.55048, 0.780278, 3.55037, 5.32907e-09, 1.9984e-09
3.65043, 4.89331, 3.65054, 0.810844, 3.65043, 3.10862e-09, 1.33227e-09
3.74689, 4.93122, 3.747, 0.841299, 3.7469, 1.9984e-09, 7.77156e-10
3.83976, 4.95735, 3.83987, 0.871642, 3.83976, 1.33227e-09, 4.44089e-10
3.92903, 4.97168, 3.92914, 0.901874, 3.92903, 6.66134e-10, 3.33067e-10
4.0147, 4.97423, 4.01481, 0.931996, 4.01471, 4.44089e-10, 0
4.09677, 4.96499, 4.09688, 0.962006, 4.09678, 4.44089e-10, 2.22045e-10
4.17525, 4.94395, 4.17536, 0.991905, 4.17525, 0, 0
4.25013, 4.91113, 4.25023, 1.02169, 4.25013, 2.22045e-10, 1.11022e-10
