q0, q1, q2, q3, q4, q5, q6
0.00588178, 0.000728996, 0.000698687, 0.00100488, 5.82862e-05, 0.00217156, -0.000308513
0.00557131, 0.000485997, -9.10209e-05, 0.000669917, 3.88575e-05, 0.00190609, 0.000302951
0.00355976, -0.000232814, -6.06806e-05, -0.000759814, 0.000229356, 0.00113979, -3.53914e-05
0.00146853, -0.000155209, -0.000690068, 5.0269e-05, 0.000152904, 0.000865111, -0.000532221
0.00296859, -0.000103473, 0.000189569, -0.000523299, 0.000339295, 0.000926946, -0.000117455
0.00103519, 0.00113744, 0.000126379, -0.000348866, 0.000226196, 0.000405899, -7.83032e-05
0.000167824, -0.00044813, 8.42528e-05, -0.000232577, -8.65613e-05, 0.000315002, 0.000931142
-0.000349444, 0.00425652, 0.00569749, -0.000155052, -0.000498517, 0.000243303, 0.000892029
0.00104508, 0.00590695, 0.00432257, 0.000453444, -9.49857e-05, 0.000187178, 0.000832045
-0.000455998, 0.00485322, 0.00580045, 0.00095191, -0.000707584, 0.000414785, 0.000792055
-0.00202695, 0.00734362, 0.00200587, 0.00239784, -0.000471723, 0.000527932, -0.00120129
-0.0018779, 0.0048548, 0.00191453, 0.00159856, -0.000111031, 0.000125132, -0.000800862
-0.00163852, 0.00387967, 0.0075844, 0.00282895, -0.000277471, 9.13242e-05, -0.00026264
0.00112098, 0.00531334, 0.00439974, 0.00299959, -0.00042234, 0.000541528, -0.000175094
-0.00230967, 0.00639294, 0.00779622, 0.00376296, -0.00112927, 0.000365464, 0.000595348
-0.000403794, 0.010506, 0.00978504, 0.00482869, -0.00143102, 9.61747e-06, 0.00114288
0.00263967, 0.0125034, 0.0112653, 0.00260754, -0.00180172, 0.00048363, 0.00103319
0.00351054, 0.0128954, 0.0112434, 0.00259995, 0.00238053, 8.69364e-05, 0.000688793
0.00291219, 0.0140217, 0.0108008, 0.00330751, 0.00526279, 0.000296723, -0.0015414
