q0, q1, q2, q3, q4, q5, q6
-0.000455169, 0.000940972, 0.00026382, -0.000383825, 0.000479784, 0.000345473, 0.00060278
0.000182307, 0.00072764, 0.00015148, 0.000381048, -0.000233891, -3.13501e-05, 0.000655177
-0.000992086, -0.00127814, -0.00110544, 0.000254032, 0.000488333, -0.000495481, -0.00105519
-0.000661391, 0.000261528, -0.00073696, 0.000169355, 0.000325555, -9.28586e-05, -0.000703457
-0.000440927, 0.000823966, -0.000491306, -0.00100072, -0.000868033, 0.000412889, 0.000277014
-0.000293951, -0.000100303, 0.000878888, -0.000667147, 6.55715e-05, 3.79585e-05, 0.000422035
0.00174804, 0.00515224, 0.000995014, -0.000444765, -0.00124481, -0.00021201, 0.000518715
0.00241429, 0.00919407, 0.00161917, 0.00301357, -0.00235575, 0.0010794, -0.000400175
-0.00101876, 0.00786801, 0.00216407, 0.00249269, -0.00136705, 0.000956981, -0.000741501
0.00274048, 0.00827357, 0.000166674, 0.00415964, 0.000173703, 0.00111272, -0.00100296
-0.000276463, 0.0131344, 0.00552388, 0.00186242, 0.000353161, 0.000741829, 0.00133196
0.00362325, 0.0174384, 0.00608083, 0.00365382, -0.00173125, 1.98452e-05, 0.000616704
0.00453212, 0.0193173, 0.00357159, 0.00316371, -0.00396856, 0.000725315, 0.000682403
0.005682, 0.0171914, 0.00734197, 0.00272462, -0.00373078, 0.000992175, -5.36909e-05
0.00773478, 0.015979, 0.00660328, 0.0059437, -0.00269064, 0.000390187, -0.00054442
0.00810154, 0.016869, 0.00900897, 0.00752194, -0.00159031, -0.000451949, -0.000600306
0.00910517, 0.0214595, 0.0126449, 0.00492072, -0.00170446, -0.000538656, 0.000345781
0.00996836, 0.0219179, 0.0178672, 0.00536173, -0.00374726, 0.000115616, -6.838e-06
0.0117747, 0.0259298, 0.016339, 0.00747867, 0.000437382, 0.0017725, 0.000741427
0.0154599, 0.028889, 0.0197823, 0.00550107, -0.00169326, 0.000944309, 0.000223017
0.0189779, 0.035505, 0.0201625, 0.00709311, 0.00208631, 0.00062954, -0.000834666
0.0246885, 0.0367055, 0.0227495, 0.00697324, 0.00369669, 0.00113177, -4.78178e-05
0.0241928, 0.0417031, 0.0271725, 0.00635539, 0.00537734, 4.24373e-05, 0.00020548
0.0287792, 0.0437487, 0.0300443, 0.0123924, 0.00844647, -0.000446426, 0.000645613
0.03167, 0.0431499, 0.0313351, 0.0132148, 0.0112125, -0.000806243, 0.000667768
0.0364679, 0.0474711, 0.0322548, 0.0141655, 0.0125859, 0.00020849, 0.00020782
0.0389959, 0.0492781, 0.0350053, 0.0113869, 0.0172431, 0.000613711, -0.00159078
0.0409511, 0.0542757, 0.0382289, 0.0138112, 0.01919, 0.0006465, -0.000348445
0.039336, 0.0598192, 0.0421835, 0.0150073, 0.020184, 0.000939626, 0.000276329
0.0443071, 0.0653782, 0.0444737, 0.0114531, 0.0213558, 0.00157585, -5.31393e-05
0.0518037, 0.0706039, 0.046258, 0.0111113, 0.0242085, 0.00203391, 0.000710559
0.0566942, 0.0769682, 0.0497521, 0.0119345, 0.029977, 0.000609957, 0.000711065
0.0613577, 0.0789078, 0.0527517, 0.0127469, 0.0344355, -0.000780157, -3.4583e-05
0.0645851, 0.0830995, 0.0579978, 0.0163012, 0.0445161, -4.53866e-05, -0.000769041
0.0672056, 0.0836146, 0.0586575, 0.0155667, 0.0526417, -0.000504976, -4.06741e-06
0.071053, 0.0859072, 0.0642956, 0.0184525, 0.0591056, -0.000845277, 0.00148926
0.0772027, 0.0930627, 0.0646744, 0.0179996, 0.0688066, 0.000182467, 0.000246854
0.0800213, 0.100167, 0.067019, 0.0205435, 0.0745699, 0.000833722, 0.000164569
0.0831666, 0.109897, 0.073379, 0.0161842, 0.0730765, 0.00153916, -0.00138226
0.0878796, 0.114753, 0.0759433, 0.0187689, 0.0825132, 0.00102611, -0.000684146
0.0910722, 0.116785, 0.0798151, 0.0198624, 0.0893799, -0.000299274, -0.000456097
0.0937116, 0.121259, 0.0849191, 0.0236258, 0.0959294, -0.000436875, 0.000950547
0.0971664, 0.127009, 0.0919381, 0.022344, 0.100759, -0.00174931, 0.000396339
0.103471, 0.130729, 0.0960574, 0.0245126, 0.103911, -0.00140357, -0.0002444
0.105772, 0.134893, 0.0985358, 0.0219401, 0.105364, -0.00117307, -0.000162934
0.110878, 0.139786, 0.103867, 0.0233794, 0.11505, -0.000544688, -0.000617249
0.116472, 0.145739, 0.107217, 0.0205371, 0.127108, -0.000125766, 0.000843112
0.121844, 0.147917, 0.112296, 0.0248641, 0.133337, 0.000153515, 0.000799434
0.129738, 0.155833, 0.117985, 0.0269534, 0.138325, 0.000102343, 0.000295597
0.132663, 0.159455, 0.12374, 0.026153, 0.141419, -0.000406489, 0.000434424
0.136643, 0.164912, 0.132246, 0.032012, 0.14288, -0.00172905, -0.00143971
0.142334, 0.171114, 0.137911, 0.0312812, 0.149379, -0.00162742, -0.00072245
0.149914, 0.170965, 0.141984, 0.0359812, 0.154098, -0.00155967, 2.69928e-05
0.154262, 0.172685, 0.145956, 0.0387384, 0.156288, -0.00103978, 0.000526622
0.157541, 0.178831, 0.151182, 0.0374059, 0.165643, -0.000693185, 0.000825799
0.163425, 0.180413, 0.159126, 0.0377806, 0.169512, -0.000224764, -0.00967801
0.166888, 0.184877, 0.163777, 0.0416426, 0.172726, -0.000149843, -0.00724222
0.172276, 0.185902, 0.163151, 0.043718, 0.177167, 0.000137464, -0.00664151
0.182059, 0.185589, 0.173206, 0.0458119, 0.185841, -0.000145716, -0.00365146
0.188721, 0.188514, 0.178891, 0.0467708, 0.191856, -0.00084313, -0.00276768
0.195284, 0.195641, 0.185617, 0.0473604, 0.199682, -0.00127416, -0.0011118
0.194587, 0.199296, 0.192045, 0.048975, 0.201124, -0.00132416, -0.00238679
0.197651, 0.20178, 0.198066, 0.0531246, 0.206233, -0.00162876, -0.00149447
0.202975, 0.202312, 0.20435, 0.0534486, 0.210154, -0.0013232, -0.000864437
0.212502, 0.202385, 0.212648, 0.0527069, 0.217284, -0.000882132, 0.000327942
0.214636, 0.203055, 0.217698, 0.0503133, 0.21839, 0.000395256, -0.000552782
0.223324, 0.202833, 0.219806, 0.0496249, 0.229613, 0.000500863, -0.000684288
0.225755, 0.204874, 0.23155, 0.0568063, 0.234856, 0.000333909, -0.00194763
0.231499, 0.204093, 0.233318, 0.0581082, 0.241813, -0.000998097, -0.000848732
0.236868, 0.207171, 0.239525, 0.0579793, 0.242118, -0.000902757, -0.000821954
0.236381, 0.211778, 0.251085, 0.0626954, 0.246665, 0.004053, 0.001642
0.246071, 0.210775, 0.254507, 0.0637478, 0.249466, 0.0030899, -0.000136598
0.253745, 0.211844, 0.258475, 0.0632014, 0.251419, 0.0021135, 0.000647
0.254064, 0.21494, 0.267217, 0.0639163, 0.25352, 0.0016272, -0.000557951
0.262596, 0.217201, 0.268129, 0.0692682, 0.258589, 0.00172316, -0.000139063
0.265992, 0.214385, 0.271208, 0.0692635, 0.270139, 0.00127151, -9.60501e-05
0.265374, 0.212865, 0.272041, 0.0707776, 0.269009, 0.000465007, 0.000679446
0.271231, 0.210819, 0.277934, 0.0712229, 0.274216, 0.000616402, 0.000213726
0.279395, 0.210724, 0.287486, 0.0739904, 0.275393, -0.000249363, -0.000604911
0.276634, 0.214517, 0.291638, 0.0790913, 0.275172, -0.000636034, -0.000166972
0.284629, 0.214189, 0.290261, 0.076584, 0.281026, -0.000632256, 0.000125251
0.287884, 0.210934, 0.294828, 0.0780423, 0.283997, 7.50579e-05, 0.000828891
