q0, q1, q2, q3, q4, q5, q6
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0
0.0121413, 0.0218916, 0.0121413, 0.00214193, 0.0121413, 0, 0
0.0798414, 0.143278, 0.0798414, 0.0141527, 0.0798414, 0, 0
0.19253, 0.343488, 0.19253, 0.0343269, 0.19253, 0, 0
0.33146, 0.587559, 0.33146, 0.0594717, 0.33146, 0, 0
0.485116, 0.854015, 0.485116, 0.0876261, 0.485116, 0, 0
0.646429, 1.12967, 0.646429, 0.117586, 0.646429, 0, 0
0.811054, 1.40643, 0.811054, 0.148612, 0.811054, 0, 0
0.976325, 1.67931, 0.976325, 0.180249, 0.976325, 0, 0
1.14061, 1.94527, 1.14061, 0.21222, 1.14061, 0, 0
1.30289, 2.20242, 1.30289, 0.244351, 1.30289, 0, 0
1.46256, 2.44962, 1.46256, 0.276539, 1.46256, 0, 0
1.61923, 2.68616, 1.61923, 0.308719, 1.61923, 0, 0
1.77268, 2.91159, 1.77268, 0.340851, 1.77268, 0, 0
1.92275, 3.12567, 1.92275, 0.372911, 1.92275, 0, 0
2.06937, 3.32822, 2.06937, 0.404883, 2.06937, 0, 0
2.21247, 3.51913, 2.21247, 0.436759, 2.21247, 0, 0
2.35203, 3.69836, 2.35203, 0.468533, 2.35203, 0, 0
2.48803, 3.86586, 2.48803, 0.500201, 2.48803, 0, 0
2.62044, 4.02161, 2.62044, 0.531761, 2.62044, 0, 0
2.74927, 4.16559, 2.74927, 0.563212, 2.74927, 0, 0
2.87451, 4.2978, 2.87451, 0.594554, 2.87451, 0, 0
2.99616, 4.41822, 2.99616, 0.625785, 2.99616, 0, 0
3.1142, 4.52687, 3.1142, 0.656905, 3.1142, 0, 0
3.22866, 4.62373, 3.22866, 0.687915, 3.22866, 0, 0
3.33951, 4.7088, 3.33951, 0.718814, 3.33951, 0, 0
3.44677, 4.78208, 3.44677, 0.749602, 3.44677, 0, 0
3.55043, 4.84358, 3.55043, 0.780278, 3.55043, 0, 0
3.6505, 4.89329, 3.6505, 0.810844, 3.6505, 0, 0
3.74696, 4.93121, 3.74696, 0.841299, 3.74696, 0, 0
3.83983, 4.95734, 3.83983, 0.871642, 3.83983, 0, 0
3.9291, 4.97168, 3.9291, 0.901874, 3.9291, 0, 0
4.01477, 4.97423, 4.01477, 0.931996, 4.01477, 0, 0
4.09684, 4.965, 4.09684, 0.962006, 4.09684, 0, 0
4.17532, 4.94397, 4.17532, 0.991905, 4.17532, 0, 0
4.25019, 4.91116, 4.25019, 1.02169, 4.25019, 0, 0
4.32147, 4.86656, 4.32147, 1.05137, 4.32147, 0, 0
4.38915, 4.81017, 4.38915, 1.08094, 4.38915, 0, 0
4.45323, 4.74199, 4.45323, 1.11039, 4.45323, 0, 0
4.51372, 4.66203, 4.51372, 1.13973, 4.51372, 0, 0
4.5706, 4.57027, 4.5706, 1.16897, 4.5706, 0, 0
4.62389, 4.46673, 4.62389, 1.19809, 4.62389, 0, 0
4.67358, 4.35139, 4.67358, 1.2271, 4.67358, 0, 0
4.71967, 4.22427, 4.71967, 1.256, 4.71967, 0, 0
4.76216, 4.08536, 4.76216, 1.28478, 4.76216, 0, 0
4.80106, 3.93466, 4.80106, 1.31346, 4.80106, 0, 0
4.83636, 3.77217, 4.83636, 1.34203, 4.83636, 0, 0
4.86805, 3.5979, 4.86805, 1.37048, 4.86805, 0, 0
4.89615, 3.41183, 4.89615, 1.39883, 4.89615, 0, 0
4.92066, 3.21398, 4.92066, 1.42706, 4.92066, 0, 0
4.94156, 3.00434, 4.94156, 1.45518, 4.94156, 0, 0
4.95887, 2.78291, 4.95887, 1.48319, 4.95887, 0, 0
4.97257, 2.54969, 4.97257, 1.51109, 4.97257, 0, 0
4.98268, 2.30468, 4.98268, 1.53888, 4.98268, 0, 0
4.98919, 2.04788, 4.98919, 1.56655, 4.98919, 0, 0
4.99211, 1.77929, 4.99211, 1.59412, 4.99211, 0, 0
4.99142, 1.49892, 4.99142, 1.62157, 4.99142, 0, 0
4.99142, 1.49892, 4.99142, 1.62157, 4.99142, 0, 0
4.97332, 0.497904, 4.97332, 1.71404, 4.97332, 0, 0
4.96842, 0.639934, 4.96842, 1.6992, 4.96842, 0, 0
4.95309, 0.393348, 4.95309, 1.72778, 4.95309, 0, 0
4.93426, 0.241567, 4.93426, 1.75564, 4.93426, 0, 0
4.9119, 0.148354, 4.9119, 1.78302, 4.9119, 0, 0
4.88597, 0.0911085, 4.88597, 1.81007, 4.88597, 0, 0
4.85646, 0.0559525, 4.85646, 1.83685, 4.85646, 0, 0
4.82337, 0.0343621, 4.82337, 1.86345, 4.82337, 0, 0
4.78669, 0.0211028, 4.78669, 1.88987, 4.78669, 0, 0
4.74642, 0.0129599, 4.74642, 1.91616, 4.74642, 0, 0
4.70255, 0.00795906, 4.70255, 1.94231, 4.70255, 0, 0
4.65509, 0.0048879, 4.65509, 1.96834, 4.65509, 0, 0
4.60403, 0.00300181, 4.60403, 1.99425, 4.60403, 0, 0
4.54937, 0.0018435, 4.54937, 2.02005, 4.54937, 0, 0
4.49111, 0.00113215, 4.49111, 2.04573, 4.49111, 0, 0
4.42926, 0.000695288, 4.42926, 2.0713, 4.42926, 0, 0
4.3638, 0.000426998, 4.3638, 2.09675, 4.3638, 0, 0
4.29475, 0.000262232, 4.29475, 2.1221, 4.29475, 0, 0
4.22211, 0.000161045, 4.22211, 2.14733, 4.22211, 0, 0
4.14586, 9.89026e-05, 4.14586, 2.17245, 4.14586, 0, 0
4.06601, 6.07391e-05, 4.06601, 2.19746, 4.06601, 0, 0
3.98257, 3.73018e-05, 3.98257, 2.22236, 3.98257, 0, 0
3.89553, 2.2908e-05, 3.89553, 2.24715, 3.89553, 0, 0
3.80489, 1.40685e-05, 3.80489, 2.27183, 3.80489, 0, 0
3.71065, 8.63998e-06, 3.71065, 2.29639, 3.71065, 0, 0
3.61282, 5.30609e-06, 3.61282, 2.32085, 3.61282, 0, 0
3.51138, 3.25862e-06, 3.51138, 2.34519, 3.51138, 0, 0
3.40635, 2.00118e-06, 3.40635, 2.36942, 3.40635, 0, 0
3.29772, 1.22902e-06, 3.29772, 2.39354, 3.29772, 0, 0
3.18549, 7.5473e-07, 3.18549, 2.41756, 3.18549, 0, 0
3.06967, 4.63629e-07, 3.06967, 2.44145, 3.06967, 0, 0
2.95024, 2.84661e-07, 2.95024, 2.46524, 2.95024, 0, 0
2.82722, 1.74749e-07, 2.82722, 2.48892, 2.82722, 0, 0
2.7006, 1.07359e-07, 2.7006, 2.51248, 2.7006, 0, 0
2.57038, 6.59472e-08, 2.57038, 2.53594, 2.57038, 0, 0
2.43656, 4.05231e-08, 2.43656, 2.55928, 2.43656, 0, 0
2.29915, 2.4758e-08, 2.29915, 2.58252, 2.29915, 0, 0
2.15813, 1.53211e-08, 2.15813, 2.60564, 2.15813, 0, 0
2.01352, 9.32587e-09, 2.01352, 2.62865, 2.01352, 0, 0
1.86531, 5.9952e-09, 1.86531, 2.65155, 1.86531, 0, 0
1.7135, 3.33067e-09, 1.7135, 2.67433, 1.7135, 0, 0
1.5581, 2.22045e-09, 1.5581, 2.69701, 1.5581, 0, 0
