q0, q1, q2, q3, q4, q5, q6
-2.94e-06, -0.785393, -9.12851e-06, -2.35608, 0.000575099, 1.57071, 0.785213
-2.94e-06, -0.785393, -9.12851e-06, -2.35608, 0.000575099, 1.57071, 0.785211
-1.26957e-06, -0.785394, -1.0799e-05, -2.35608, 0.000575099, 1.57071, 0.785211
-4.61044e-06, -0.785394, -1.27478e-05, -2.35608, 0.000575099, 1.57071, 0.785214
-4.61044e-06, -0.785393, -9.12851e-06, -2.35609, 0.000572513, 1.57071, 0.785213
-4.61044e-06, -0.785388, -8.66842e-06, -2.35608, 0.000572711, 1.57071, 0.785214
-2.47991e-06, -0.78539, -9.44699e-06, -2.35608, 0.000572811, 1.57071, 0.785211
-3.25848e-06, -0.785396, -1.3148e-05, -2.35608, 0.000573048, 1.57071, 0.785212
-1.6698e-06, -0.78539, -8.63973e-06, -2.35609, 0.00057561, 1.57071, 0.785215
-2.6329e-06, -0.785389, -6.7775e-06, -2.35609, 0.000572896, 1.57072, 0.785215
4.67984e-07, -0.785379, -2.00026e-06, -2.35608, 0.000571584, 1.57071, 0.785217
-9.22989e-07, -0.785372, 5.79422e-06, -2.35608, 0.000572511, 1.57072, 0.785211
3.7018e-06, -0.785363, 6.60956e-06, -2.35608, 0.000572888, 1.57072, 0.785211
1.09775e-05, -0.785354, 1.86476e-05, -2.35608, 0.000571285, 1.57072, 0.785209
1.57072e-05, -0.785337, 2.45817e-05, -2.35608, 0.000569461, 1.57071, 0.78521
2.35747e-05, -0.78532, 3.72974e-05, -2.35608, 0.000569439, 1.57071, 0.785214
2.5524e-05, -0.785302, 4.75328e-05, -2.35607, 0.000571067, 1.57071, 0.785213
3.53377e-05, -0.785278, 6.49225e-05, -2.35607, 0.000570559, 1.57072, 0.785214
4.42425e-05, -0.785251, 7.72727e-05, -2.35607, 0.000568329, 1.57071, 0.785213
5.60884e-05, -0.785219, 9.23898e-05, -2.35606, 0.000569493, 1.57072, 0.78521
6.86363e-05, -0.78519, 0.000112605, -2.35606, 0.000568974, 1.57072, 0.785213
8.70791e-05, -0.785154, 0.000133495, -2.35606, 0.000565893, 1.57072, 0.785213
0.000106273, -0.785122, 0.00016268, -2.35606, 0.000573199, 1.57072, 0.785215
0.000129053, -0.785084, 0.000189526, -2.35605, 0.000575541, 1.57072, 0.785218
0.000158779, -0.785039, 0.000215217, -2.35604, 0.000580925, 1.57072, 0.785214
0.000187666, -0.784992, 0.000250639, -2.35604, 0.000591222, 1.57072, 0.785214
0.000215711, -0.784937, 0.000275936, -2.35603, 0.000598206, 1.57072, 0.785212
0.000250061, -0.78488, 0.000313535, -2.35602, 0.00060979, 1.57072, 0.785214
0.00029328, -0.784829, 0.000350872, -2.35601, 0.000621281, 1.57072, 0.785216
0.000335089, -0.784768, 0.000389231, -2.35601, 0.000638216, 1.57072, 0.785216
0.000380322, -0.784704, 0.000428489, -2.356, 0.000656695, 1.57072, 0.785214
0.000434116, -0.784632, 0.000475466, -2.35599, 0.000682419, 1.57072, 0.785212
0.000492802, -0.78456, 0.000522042, -2.35597, 0.000711033, 1.57072, 0.785214
0.000558772, -0.784475, 0.000570991, -2.35597, 0.000744451, 1.57072, 0.785211
0.000623542, -0.784391, 0.000628425, -2.35595, 0.00078158, 1.57072, 0.785214
0.000691814, -0.784303, 0.000689701, -2.35594, 0.000827483, 1.57072, 0.785218
0.000764308, -0.78421, 0.000753367, -2.35593, 0.000879921, 1.57072, 0.785215
0.000836721, -0.784113, 0.000822187, -2.35591, 0.000942175, 1.57072, 0.785214
0.000914853, -0.784011, 0.000892169, -2.35589, 0.00100567, 1.57072, 0.785213
0.00100769, -0.783905, 0.000959838, -2.35588, 0.00107885, 1.57072, 0.785213
0.0011006, -0.783795, 0.00104344, -2.35587, 0.00115502, 1.57072, 0.785215
0.00119557, -0.783675, 0.00112149, -2.35585, 0.00123614, 1.57072, 0.785215
0.00129836, -0.783554, 0.00121197, -2.35583, 0.00131905, 1.57072, 0.785216
0.00140886, -0.783429, 0.00129964, -2.35581, 0.00141387, 1.57072, 0.785213
0.00151191, -0.783296, 0.00139601, -2.35579, 0.00151711, 1.57072, 0.785211
0.00162277, -0.783158, 0.00149936, -2.35576, 0.00162828, 1.57072, 0.785211
0.00173762, -0.783019, 0.00160317, -2.35574, 0.00174095, 1.57072, 0.785211
0.00186028, -0.782875, 0.00171345, -2.35571, 0.00186159, 1.57072, 0.785215
0.001985, -0.782726, 0.00183162, -2.35569, 0.00198616, 1.57072, 0.785215
0.00212059, -0.782562, 0.00194603, -2.35566, 0.00212156, 1.57072, 0.785215
0.00226286, -0.782402, 0.00206966, -2.35563, 0.00226152, 1.57072, 0.785218
0.00240087, -0.782236, 0.00219394, -2.3556, 0.00240601, 1.57072, 0.785212
0.00254729, -0.782075, 0.00233319, -2.35556, 0.00255858, 1.57071, 0.785215
0.00269324, -0.781901, 0.00247686, -2.35552, 0.00271185, 1.57071, 0.785215
0.00285074, -0.781721, 0.00262146, -2.35549, 0.00287384, 1.57072, 0.785216
0.00301003, -0.781542, 0.00277201, -2.35545, 0.00304163, 1.57072, 0.785212
0.00318208, -0.781357, 0.00292399, -2.35541, 0.00321265, 1.57072, 0.78521
0.00335391, -0.781178, 0.00308589, -2.35536, 0.00339184, 1.57072, 0.78521
0.00352307, -0.780991, 0.00326103, -2.35532, 0.00357384, 1.57071, 0.785212
0.00370488, -0.780793, 0.00343324, -2.35528, 0.00375823, 1.57072, 0.785216
0.00389526, -0.780599, 0.00360894, -2.35523, 0.00395307, 1.57071, 0.785215
0.0040872, -0.780404, 0.00379868, -2.35518, 0.00414761, 1.57071, 0.785214
0.0042854, -0.780213, 0.00398864, -2.35513, 0.00435216, 1.57072, 0.785214
0.00448996, -0.780018, 0.00418832, -2.35508, 0.00456327, 1.57071, 0.785216
0.00469875, -0.779808, 0.00438846, -2.35502, 0.00477845, 1.57072, 0.785214
0.00491472, -0.779613, 0.004602, -2.35497, 0.00500003, 1.57071, 0.785216
0.00512927, -0.779409, 0.00482037, -2.35491, 0.00521938, 1.57071, 0.785216
0.0053503, -0.779208, 0.0050501, -2.35485, 0.00545166, 1.57071, 0.785213
0.00557886, -0.778996, 0.00527424, -2.35479, 0.00568879, 1.57071, 0.785214
0.0058104, -0.778789, 0.00550912, -2.35473, 0.0059285, 1.57071, 0.785212
0.00604514, -0.778577, 0.00575815, -2.35467, 0.00617265, 1.57071, 0.785214
0.00628958, -0.778368, 0.00600317, -2.35461, 0.00641706, 1.57071, 0.785215
0.00654124, -0.778156, 0.00625085, -2.35454, 0.00666287, 1.57071, 0.785214
0.00678444, -0.777948, 0.00652082, -2.35448, 0.00691933, 1.57071, 0.785212
0.00704357, -0.777727, 0.0067896, -2.35441, 0.0071799, 1.57071, 0.785212
0.00731217, -0.777509, 0.00705558, -2.35435, 0.00744368, 1.57071, 0.785213
0.00756648, -0.777297, 0.00733127, -2.35428, 0.00770643, 1.57071, 0.785215
0.00784143, -0.77708, 0.00760612, -2.3542, 0.00797448, 1.57071, 0.785215
0.00812039, -0.776863, 0.00788439, -2.35413, 0.00825373, 1.57071, 0.785217
0.00839271, -0.776649, 0.00818068, -2.35406, 0.00853128, 1.57071, 0.785212
0.00867885, -0.776436, 0.00847435, -2.35398, 0.00881608, 1.57071, 0.785211
0.00896811, -0.776225, 0.00876993, -2.35391, 0.00908972, 1.57071, 0.785211
0.00925498, -0.776005, 0.0090704, -2.35383, 0.00937833, 1.57071, 0.785211
0.00955236, -0.775799, 0.00937418, -2.35375, 0.0096651, 1.57071, 0.785215
0.00985594, -0.775583, 0.00967793, -2.35367, 0.00994861, 1.57071, 0.785216
0.0101572, -0.775373, 0.00999652, -2.35359, 0.0102477, 1.57071, 0.785215
0.0104611, -0.775166, 0.0103108, -2.3535, 0.0105502, 1.57071, 0.785215
0.0107715, -0.774956, 0.0106239, -2.35341, 0.0108542, 1.57071, 0.785213
0.0110844, -0.774749, 0.0109508, -2.35332, 0.0111572, 1.57071, 0.785214
0.0113952, -0.774537, 0.0112803, -2.35322, 0.0114602, 1.57071, 0.785215
0.0117217, -0.774329, 0.011603, -2.35313, 0.0117771, 1.5707, 0.785215
0.0120474, -0.774125, 0.0119359, -2.35304, 0.0120989, 1.57071, 0.78521
0.0123682, -0.773922, 0.0122778, -2.35294, 0.0124121, 1.5707, 0.78521
0.0127071, -0.773716, 0.012608, -2.35284, 0.0127255, 1.5707, 0.78521
0.0130407, -0.773515, 0.0129454, -2.35274, 0.0130494, 1.5707, 0.785211
0.0133791, -0.773318, 0.0132862, -2.35263, 0.0133775, 1.5707, 0.785215
0.0137246, -0.773118, 0.0136286, -2.35251, 0.0137102, 1.5707, 0.785214
0.014062, -0.772916, 0.0139842, -2.3524, 0.0140369, 1.5707, 0.785213
0.0144143, -0.77272, 0.0143245, -2.35228, 0.0143832, 1.5707, 0.785214
0.0147608, -0.772523, 0.0146728, -2.35216, 0.0147115, 1.5707, 0.78521
0.0151106, -0.772323, 0.0150204, -2.35204, 0.0150555, 1.5707, 0.785214
0.0154639, -0.772128, 0.0153763, -2.35191, 0.0153987, 1.57069, 0.785217
0.0158188, -0.771929, 0.0157297, -2.35178, 0.0157486, 1.5707, 0.785216
