q0, q1, q2, q3, q4, q5, q6
-0.00049219, -0.785374, -1.25386e-05, -2.35661, -0.000538464, 1.57029, 0.7857
-0.000490243, -0.785374, -9.16334e-06, -2.3566, -0.000537854, 1.57029, 0.785703
-0.000489594, -0.785372, -8.68787e-06, -2.3566, -0.000536532, 1.57029, 0.785701
-0.000495127, -0.785373, -8.52937e-06, -2.3566, -0.000537854, 1.57029, 0.785704
-0.000491964, -0.785371, -8.47654e-06, -2.3566, -0.00054105, 1.57029, 0.785702
-0.000489978, -0.785371, -1.04078e-05, -2.35661, -0.000542666, 1.57029, 0.785703
-0.000495812, -0.785373, -1.05836e-05, -2.3566, -0.000543908, 1.57029, 0.785702
-0.000492834, -0.785371, -1.34223e-05, -2.3566, -0.000555054, 1.57028, 0.785701
-0.000495736, -0.78537, -1.12094e-05, -2.3566, -0.00058431, 1.57028, 0.785704
-0.000495214, -0.785377, -1.6036e-05, -2.3566, -0.000632199, 1.57028, 0.785699
-0.000494576, -0.785375, -1.92185e-05, -2.3566, -0.00069209, 1.57028, 0.785704
-0.00049538, -0.785373, -2.09212e-05, -2.3566, -0.000761457, 1.57028, 0.785699
-0.000487296, -0.785377, -1.78655e-05, -2.3566, -0.000847817, 1.57028, 0.785706
-0.000486082, -0.785374, -2.14792e-05, -2.3566, -0.000955676, 1.57028, 0.7857
-0.000486884, -0.785374, -2.21231e-05, -2.35659, -0.0010754, 1.57028, 0.785702
-0.000485481, -0.785375, -1.83433e-05, -2.35659, -0.00121074, 1.57028, 0.785704
-0.0004839, -0.785372, -2.20868e-05, -2.35659, -0.00136258, 1.57028, 0.7857
-0.00047818, -0.785375, -2.38915e-05, -2.35659, -0.00152805, 1.57028, 0.785703
-0.00047553, -0.785377, -2.66236e-05, -2.35658, -0.00170512, 1.57028, 0.7857
-0.000473166, -0.785378, -2.75343e-05, -2.35658, -0.00189407, 1.57028, 0.785705
-0.000470248, -0.785376, -2.73777e-05, -2.35658, -0.00208118, 1.57028, 0.785702
-0.000468633, -0.785379, -2.41781e-05, -2.35658, -0.00226265, 1.57029, 0.785703
-0.000468377, -0.785374, -1.82937e-05, -2.35658, -0.00242142, 1.57029, 0.785702
-0.000469785, -0.785375, -1.56905e-05, -2.35659, -0.00256097, 1.5703, 0.7857
-0.000469423, -0.78538, -7.22471e-06, -2.35659, -0.00268657, 1.5703, 0.785705
-0.000472925, -0.785381, -1.17039e-06, -2.35659, -0.00279508, 1.5703, 0.785701
-0.000484301, -0.785384, -2.03698e-06, -2.35659, -0.0028861, 1.57029, 0.785703
-0.000491337, -0.785383, -2.33367e-06, -2.35659, -0.00296183, 1.57028, 0.785699
-0.000497209, -0.785383, -1.2548e-05, -2.35659, -0.00301563, 1.57028, 0.785705
-0.000505005, -0.785381, -1.17767e-05, -2.3566, -0.00306065, 1.57028, 0.785701
-0.00050908, -0.785381, -1.36501e-05, -2.3566, -0.00311104, 1.57028, 0.785707
-0.000516927, -0.785383, -1.49164e-05, -2.35661, -0.00317789, 1.57028, 0.785704
-0.000527326, -0.785378, -1.91355e-05, -2.35661, -0.00325675, 1.57028, 0.785701
