q0, q1, q2, q3, q4, q5, q6
0.000101553, 0.000245251, -0.000417834, -0.000231541, -4.49448e-05, -0.00027932, -0.00097511
6.77023e-05, 0.000163501, 0.000371058, 0.000495254, 0.000173487, 4.69855e-05, 0.000333271
4.51349e-05, 0.000109, 0.000247372, 0.000330169, 0.000556468, 2.82036e-05, -0.000523805
-0.00117634, -0.000576947, 0.000164915, 0.000220113, -6.9831e-05, 1.64623e-05, 0.000634141
-0.000227412, 0.000264983, 0.000109943, 0.000146742, -4.6554e-05, -0.000228139, -5.19571e-05
0.00105482, 0.000176655, -0.000576319, -0.000551786, -0.00381617, -0.000153409, 0.000202721
-0.00106003, -0.000531844, 0.000265402, 0.00139538, -0.00461165, -0.00010326, -0.000102212
-0.00206557, 0.000851863, 0.000176934, 0.000930254, -0.00928825, -0.000815566, -0.000576767
-0.00470304, 0.000567909, 0.00188119, 0.00182659, -0.0194593, -0.000544266, 0.000598833
-0.00237955, -0.00138463, 0.000697317, 0.000660918, -0.0299156, -0.00107534, -0.00105884
-0.00136752, -0.000923088, 0.000464878, 0.00155424, -0.0412322, -0.00170055, 0.000752168
-0.000608338, -5.858e-05, 0.00151634, 0.00103616, -0.0502031, -0.00113393, -0.00122788
0.002374, -0.000595865, 0.00333095, 0.00124758, -0.0609598, -1.01457e-05, 0.00165673
0.00264652, 0.000809182, 0.00287024, 0.000831722, -0.0753112, 0.000705181, -0.000862205
0.00165741, -0.000110159, 0.00302712, 0.00231772, -0.0916159, 0.000232663, 0.000171182
0.00158155, -7.34394e-05, 0.00443093, 0.00219476, -0.10594, -0.000319683, 0.000588839
0.00155103, 0.000600654, 0.0003591, 0.0025768, -0.122029, 0.00026154, -0.000828144
0.00219533, -0.000249178, -2.32387e-05, 0.00116105, -0.136188, -6.30406e-05, 0.000431248
0.00207933, -0.00072293, -0.000212472, 0.00133085, -0.144879, 0.000195301, -0.000695845
0.00136085, -0.000481954, -0.000289382, 0.0071663, -0.155706, 0.000604895, 0.00102807
0.0008882, 0.00023551, -0.000860534, 0.00474398, -0.158127, 0.000403246, -0.00033187
0.00244787, -0.000956618, 0.00194555, 0.00179186, -0.16132, 0.00148952, 0.000287379
0.000671153, 0.000475879, 0.00464467, 0.00476388, -0.161531, 0.00245107, -0.00031704
-0.00168837, -0.000239559, 0.00230295, 0.00134954, -0.153324, 0.0030921, -0.000686078
0.000954138, -0.00136613, 0.001845, 0.00126994, -0.139073, 0.00301083, 0.00127194
-0.00131799, -0.000910755, 0.00285817, -8.21148e-05, -0.126164, 0.000820421, -0.000644008
-0.00478027, -0.00172079, 0.00253115, 0.00135995, -0.112396, -0.00141974, 0.000316647
-0.00474423, -0.000590384, -0.000134158, -0.000143596, -0.102458, -0.00264192, -0.00128087
-0.00477166, -0.000393589, -0.00382208, -0.00109221, -0.0872612, -0.002236, 0.00114668
-0.00732318, 0.000294419, -0.00221547, -0.00240351, -0.0754037, -0.00125331, -0.000490157
-0.00762624, 0.000196279, -0.00753089, -0.00754764, -0.0712881, -0.00083554, 0.000656573
-0.00603283, -0.000425959, -0.00415237, -0.00913232, -0.0753557, -0.00103175, -3.70027e-05
-0.00811581, 0.00147927, -0.00246508, -0.00885765, -0.0800979, -0.00190853, -0.000533295
-0.006593, -0.00133387, -0.00255145, -0.00488362, -0.0840458, -0.00269651, 0.000390455
-0.00408032, -0.00153886, -0.000341295, -0.0055753, -0.0926752, -0.0023063, -0.000723041
-0.00112857, -0.00102591, -0.00368436, -0.00469092, -0.104691, -0.000791548, 0.0012473
0.00222779, 0.0010793, -0.00118286, 0.00145463, -0.11562, 0.000421737, -0.00113515
-0.000687775, 0.00136915, -0.000506346, -0.000519744, -0.121271, 0.00150186, 0.000701293
0.00544687, 0.00026315, -0.00126272, 0.00228338, -0.118951, 0.00195068, -0.000753174
0.00523167, 0.000825048, -0.00104847, 0.00136787, -0.114763, 0.00130045, 0.000243869
0.00340277, 0.000550032, 0.00228902, 0.00121373, -0.105219, 0.00208767, 0.000399938
0.00141594, 0.0009235, 0.000558062, -0.00354466, -0.100619, 0.00139178, 0.000503984
0.00323629, -0.000590759, -0.000168319, -0.00495366, -0.0940443, -0.00029285, -0.000647355
0.00141186, 0.000255774, -0.00179351, -0.000834286, -0.100757, -0.00189065, 7.70566e-05
-0.00299018, 0.000727328, -0.00410388, -0.000375511, -0.106003, -0.00414265, 0.00103472
0.000979509, 0.00169131, -0.00510268, 2.43721e-05, -0.107238, -0.00350775, -0.00080216
9.86656e-05, 0.00168435, -0.00160398, -0.00130895, -0.109634, 0.000340263, 0.000448571
0.00359411, 0.0011229, 0.000163032, -0.00344417, -0.111254, 0.00314297, -0.000921656
0.00174785, 0.00251184, 0.00254098, -0.00176551, -0.112739, 0.00548615, 0.000131548
0.00116627, 0.00223137, 0.00347181, -0.000709451, -0.116195, 0.00314881, -0.000420928
-0.000984939, 0.000373957, 0.00111905, 0.000666515, -0.113505, 0.000403785, -0.000280618
0.000550386, -0.000400309, 0.000754238, 0.000950948, -0.111053, -0.00118887, 0.00130489
0.0021306, -0.000266873, -4.7834e-05, 0.00235955, -0.108427, -0.00150466, -0.000622043
0.00142073, -0.000177915, -0.00299694, -0.00077526, -0.111164, -0.000291029, 0.000568649
-0.00137265, 0.000531004, -0.00264411, 0.000575603, -0.110837, -0.000431378, -0.000366886
-0.00267815, 0.00146763, -0.00287377, 0.000367849, -0.109313, -0.00123702, 2.66767e-05
-0.00354853, 0.000978418, -0.0019139, 0.000882932, -0.11598, -0.000587322, 0.000255143
-0.00236558, 0.00120909, -0.00266291, -0.00062674, -0.120913, 0.000557888, -6.72633e-05
0.000743072, 0.00080606, -0.00148001, 0.000132283, -0.12042, 0.00159263, -0.00031611
0.00225868, -0.00057625, -0.000533215, 0.000732776, -0.119852, 0.00129911, -0.000448099
0.00271226, -0.000940979, -0.000502595, -0.000721678, -0.121456, 0.000391356, 0.000955879
0.000601777, -0.000627319, -0.000445402, -0.00104076, -0.120592, -0.00072244, -0.000108733
-0.000155602, -0.000418213, -0.00223573, 0.00106728, -0.117436, -0.000718986, 0.000402229
-0.00131014, 0.00139163, -0.000346126, -0.00105331, -0.113882, -0.000241965, -0.00095255
-0.00207984, 0.000927752, -0.00148373, 0.000410225, -0.110632, 0.000347316, 0.000348311
-0.00314979, 0.000618501, -0.00158087, -0.000841035, -0.111413, -5.81465e-06, -5.15177e-06
-0.000893425, 0.000412334, -0.00163691, -4.54911e-06, -0.113057, -0.000512503, -3.43451e-06
-0.00059561, -0.000838735, -0.00111091, -0.000560348, -0.115516, -0.000579027, -2.28967e-06
0.000809357, -0.00232239, 0.000358287, -0.00158037, -0.111375, 8.86996e-05, -0.000747512
0.00109639, -0.000991451, 0.00143424, -0.00105386, -0.111847, 0.0003304, 0.000722362
0.00128774, -0.00121778, 0.00159749, -0.0012596, -0.114178, 0.000220267, -0.000976487
0.000858494, -0.000255041, 0.0021724, -0.00028308, -0.11953, -0.000599141, 0.00107834
-0.00119091, 0.000479587, 0.00144361, -0.00139527, -0.123367, 0.000346558, -0.00053572
-0.000793937, 0.000876536, 0.000402098, -0.000930266, -0.120476, -4.02286e-05, 0.000626198
0.00123395, 0.000584358, 0.000265444, -0.000620245, -0.115918, -2.68191e-05, -5.72528e-05
-0.000940606, 0.000389572, 0.000174997, -0.00706682, -0.119231, -1.78794e-05, -3.81685e-05
2.25439e-05, -0.000946711, -0.000441622, -0.00521929, -0.118219, -0.000249279, -2.54457e-05
-0.0011914, -0.00118795, -0.00150195, -0.0044174, -0.121708, -0.000166186, -1.69638e-05
0.000968974, -0.00199839, 0.000204299, -0.00323072, -0.121725, -0.000585508, 0.000463409
0.00120279, -0.00188907, 0.0012492, -0.00236816, -0.124189, -0.00015298, -0.00142039
0.00145148, -0.000702571, 0.00148195, -0.00173953, -0.12271, 0.000372731, 0.000545044
0.000318038, -0.000468381, 0.00275085, -0.00192987, -0.118186, 0.000248487, -0.000857341
0.000212025, -0.000312254, 0.00183364, 0.00103584, -0.122144, -0.00030906, 0.000886502
0.000790964, 0.000998257, -0.00119062, -2.68709e-05, -0.124622, -0.00020604, 0.000862269
-0.000122304, -0.00109773, 0.00041253, 0.000580835, -0.12488, 9.99991e-05, -0.000679766
0.000568078, -0.000731822, -0.000281903, 0.000349075, -0.120092, 6.66661e-05, 0.000292808
0.00093553, -0.00104469, -0.000188018, 0.00196734, -0.114077, 0.00055307, -0.0010255
0.000623687, -0.00013965, -0.000775022, 0.000640489, -0.118669, -0.00978815, 0.000774397
-0.00134745, 0.000463712, 0.000132886, 0.00106051, -0.123496, -0.00756681, -0.000229721
-0.000341486, -0.000247671, 0.00185179, 0.00180856, -0.126449, -0.00588491, 0.000355479
0.00153558, -0.000165114, 0.0012345, 0.00119666, -0.123746, -0.00339219, -0.000746358
0.00167333, 0.00165316, 0.0014726, 0.00079098, -0.118229, -0.00260066, 0.000248413
0.00111556, 0.000545296, 0.000981716, 0.00117184, -0.117559, -0.00198817, 0.000640327
0.00130052, 0.000363531, -0.00055196, 0.000777409, -0.115713, -0.00151624, 0.000698152
0.000310199, 0.000242354, 0.000188831, 0.00162903, -0.110589, -0.00189991, 0.000702794
0.000206799, -0.00104486, -0.000430931, 0.00108387, -0.109237, -0.000627947, -0.0012608
-0.00162537, 0.000509855, -0.000287292, 0.000720971, -0.110069, -0.000499124, 0.000380169
3.00428e-05, -0.000309711, 0.00036528, 0.00103625, -0.106333, -0.00015576, -0.00120462
2.00285e-05, -0.000206474, -0.00151972, -0.000423696, -0.104749, -0.000149117, -9.10004e-05
